"""２，３日""",カスタム名詞,"""２，３ニチ"""
10%,カスタム名詞,10%
100%,カスタム名詞,100%
25%,カスタム名詞,25%
80%,カスタム名詞,80%
１０カ月,カスタム名詞,１０カガツ
１０時間,カスタム名詞,１０ジカン
１０数年,カスタム名詞,１０スウネン
１０年以上,カスタム名詞,１０ネンイジョウ
１０年近く,カスタム名詞,１０ネンチカク
１１ヶ月,カスタム名詞,１１ヶガツ
１１年,カスタム名詞,１１ネン
１２年,カスタム名詞,１２ネン
１３年,カスタム名詞,１３ネン
１４年,カスタム名詞,１４ネン
１５秒,カスタム名詞,１５ビョウ
１６年,カスタム名詞,１６ネン
１７年,カスタム名詞,１７ネン
１９年,カスタム名詞,１９ネン
１バイト,カスタム名詞,１バイト
１位,カスタム名詞,１クライ
１割,カスタム名詞,１ワリ
１時間以上,カスタム名詞,１ジカンイジョウ
１時間以内,カスタム名詞,１ジカンイナイ
１時間半,カスタム名詞,１ジカンハン
１周年記念,カスタム名詞,１シュウネンキネン
１週間以上,カスタム名詞,１シュウカンイジョウ
１勝,カスタム名詞,１カチ
１体,カスタム名詞,１カラダ
１通,カスタム名詞,１トオリ
１日分,カスタム名詞,１ニチブン
１年近く,カスタム名詞,１ネンチカク
１番,カスタム名詞,１バン
１品,カスタム名詞,１ヒン
１文,カスタム名詞,１ブン
２０年以上,カスタム名詞,２０ネンイジョウ
２０年近く,カスタム名詞,２０ネンチカク
２３時間,カスタム名詞,２３ジカン
２か月,カスタム名詞,２カガツ
２ヵ月,カスタム名詞,２ヵガツ
２位,カスタム名詞,２クライ
２階席,カスタム名詞,２カイセキ
２件目,カスタム名詞,２ケンメ
２時間,カスタム名詞,２ジカン
２時間以上,カスタム名詞,２ジカンイジョウ
２時間半,カスタム名詞,２ジカンハン
２次感染,カスタム名詞,２ツギカンセン
２失点,カスタム名詞,２シッテン
２勝１敗,カスタム名詞,２カチ１ハイ
２択,カスタム名詞,２タク
２日,カスタム名詞,２ニチ
２年近く,カスタム名詞,２ネンチカク
２年半,カスタム名詞,２ネンハン
３０分位,カスタム名詞,３０ブンイ
３０分程度,カスタム名詞,３０フンテイド
３４年,カスタム名詞,３４ネン
３５年,カスタム名詞,３５ネン
３９歳,カスタム名詞,３９トシ
３Ｒ,カスタム名詞,３Ｒ
３か月,カスタム名詞,３カガツ
３タテ,カスタム名詞,３タテ
３チーム,カスタム名詞,３チーム
３位,カスタム名詞,３クライ
３回連続,カスタム名詞,３カイレンゾク
３割負担,カスタム名詞,３ワリフタン
３週間,カスタム名詞,３シュウカン
３酔い,カスタム名詞,３ヨイ
３連打,カスタム名詞,３レンダ
３連敗,カスタム名詞,３レンパイ
４か月,カスタム名詞,４カガツ
４回目,カスタム名詞,４カイメ
４時間,カスタム名詞,４ジカン
４日,カスタム名詞,４ニチ
４年,カスタム名詞,４ネン
５０日,カスタム名詞,５０ニチ
５０年以上,カスタム名詞,５０ネンイジョウ
６００円,カスタム名詞,６００エン
６年,カスタム名詞,６ネン
７ヶ月,カスタム名詞,７ヶガツ
７年,カスタム名詞,７ネン
７番,カスタム名詞,７バン
８カ月,カスタム名詞,８カガツ
８ヶ月,カスタム名詞,８ヶガツ
８割,カスタム名詞,８ワリ
９ヶ月,カスタム名詞,９ヶガツ
９年,カスタム名詞,９ネン
９番,カスタム名詞,９バン
ＡＤ,カスタム名詞,ＡＤ
ＡＩＤＳ,カスタム名詞,ＡＩＤＳ
ＡＴフィールド,カスタム名詞,ＡＴフィールド
Ａｍａｚｏｎ,カスタム名詞,Ａｍａｚｏｎ
Ａ型肝炎,カスタム名詞,Ａカタカンエン
ＢＢＣ,カスタム名詞,ＢＢＣ
ＢＩＧ,カスタム名詞,ＢＩＧ
ＢＯＴ,カスタム名詞,ＢＯＴ
ＢＳＥ,カスタム名詞,ＢＳＥ
ＣＤ,カスタム名詞,ＣＤ
ＣＮＮ,カスタム名詞,ＣＮＮ
Ｃ型肝炎,カスタム名詞,Ｃカタカンエン
ＤＶ,カスタム名詞,ＤＶ
ＤＶＤ化,カスタム名詞,ＤＶＤカ
ＤｏＳ,カスタム名詞,ＤｏＳ
ＥＤ,カスタム名詞,ＥＤ
ＥＳ,カスタム名詞,ＥＳ
ＦＡＱ,カスタム名詞,ＦＡＱ
ＨＩＶ,カスタム名詞,ＨＩＶ
ＨＩＶ感染,カスタム名詞,ＨＩＶカンセン
ＨＰ,カスタム名詞,ＨＰ
ＨＴＭＬ,カスタム名詞,ＨＴＭＬ
ＩＴ化,カスタム名詞,ＩＴカ
ＩＴ投資,カスタム名詞,ＩＴトウシ
ＫＯ,カスタム名詞,ＫＯ
ＭＲＳＡ,カスタム名詞,ＭＲＳＡ
ＮＧ,カスタム名詞,ＮＧ
ＯＫ,カスタム名詞,ＯＫ
ＯＬ,カスタム名詞,ＯＬ
ＯＰＡＣ,カスタム名詞,ＯＰＡＣ
ＰＭＳ,カスタム名詞,ＰＭＳ
ＰＲ,カスタム名詞,ＰＲ
ＰＴＳＤ,カスタム名詞,ＰＴＳＤ
Ｑ＆Ａ,カスタム名詞,Ｑ＆Ａ
ＲＡＭ,カスタム名詞,ＲＡＭ
ＲＦＣ,カスタム名詞,ＲＦＣ
ＲＳＳ,カスタム名詞,ＲＳＳ
ＳＡＲＳ,カスタム名詞,ＳＡＲＳ
ＳＥ,カスタム名詞,ＳＥ
ＳＰＡＭ,カスタム名詞,ＳＰＡＭ
ＳＱＬ,カスタム名詞,ＳＱＬ
ＳＳ,カスタム名詞,ＳＳ
ＴＫＯ,カスタム名詞,ＴＫＯ
Ｖｅｃｔｏｒ,カスタム名詞,Ｖｅｃｔｏｒ
ＷＷＥ,カスタム名詞,ＷＷＥ
